2026-07-22 09:26:05.319 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE066A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.351 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE603J01030/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.383 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE761H01022/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.412 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE619A01035/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.445 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE262H01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:05.501 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE211B01039/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:09.974 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.004 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE361B01024/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.033 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE089A01031/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.062 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE494B01023/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.101 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE982J01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.131 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.164 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.188 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE976I01016/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:10.215 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE151A01013/day/2026-07-22/2026-06-22: Event loop is closed
